Credito_Cuenta,Debito_Cuenta,FechaDeEntrada,Modulo,Cantidad,CodigoDeTransacción,NumeroDeTransacción,CR_Socio,DR_Socio,DR_Account,CR_Account
20001.01.00002032.0000,50003.01,1/31/2026,FIN DE MES,77,Pago De Interes 1/31/2026,Pago De Interes,2032,0,50003,20001
20001.01.00002035.0000,50003.01,1/31/2026,FIN DE MES,1.4,Pago De Interes 1/31/2026,Pago De Interes,2035,0,50003,20001
20001.01.00002036.0000,50003.01,1/31/2026,FIN DE MES,5.43,Pago De Interes 1/31/2026,Pago De Interes,2036,0,50003,20001
20001.01.00002054.0000,50003.01,1/31/2026,FIN DE MES,0.07,Pago De Interes 1/31/2026,Pago De Interes,2054,0,50003,20001
20001.01.00002082.0000,50003.01,1/31/2026,FIN DE MES,15.59,Pago De Interes 1/31/2026,Pago De Interes,2082,0,50003,20001
20001.01.00002118.0000,50003.01,1/31/2026,FIN DE MES,9.3,Pago De Interes 1/31/2026,Pago De Interes,2118,0,50003,20001
20001.01.00002121.0000,50003.01,1/31/2026,FIN DE MES,1.12,Pago De Interes 1/31/2026,Pago De Interes,2121,0,50003,20001
20001.01.00002134.0000,50003.01,1/31/2026,FIN DE MES,6.77,Pago De Interes 1/31/2026,Pago De Interes,2134,0,50003,20001
20001.01.00002136.0000,50003.01,1/31/2026,FIN DE MES,209.78,Pago De Interes 1/31/2026,Pago De Interes,2136,0,50003,20001
20001.01.00002142.0001,50003.01,1/31/2026,FIN DE MES,1.75,Pago De Interes 1/31/2026,Pago De Interes,2142,0,50003,20001
20001.01.00002147.0000,50003.01,1/31/2026,FIN DE MES,0.09,Pago De Interes 1/31/2026,Pago De Interes,2147,0,50003,20001
20001.01.00002151.0000,50003.01,1/31/2026,FIN DE MES,0.17,Pago De Interes 1/31/2026,Pago De Interes,2151,0,50003,20001
20001.01.00002162.0000,50003.01,1/31/2026,FIN DE MES,54.39,Pago De Interes 1/31/2026,Pago De Interes,2162,0,50003,20001
20001.01.00002171.0000,50003.01,1/31/2026,FIN DE MES,0.58,Pago De Interes 1/31/2026,Pago De Interes,2171,0,50003,20001
20001.01.00002172.0000,50003.01,1/31/2026,FIN DE MES,1.12,Pago De Interes 1/31/2026,Pago De Interes,2172,0,50003,20001
20001.01.00002173.0000,50003.01,1/31/2026,FIN DE MES,27.24,Pago De Interes 1/31/2026,Pago De Interes,2173,0,50003,20001
20001.01.00002182.0000,50003.01,1/31/2026,FIN DE MES,0.07,Pago De Interes 1/31/2026,Pago De Interes,2182,0,50003,20001
20001.01.00002193.0000,50003.01,1/31/2026,FIN DE MES,15.89,Pago De Interes 1/31/2026,Pago De Interes,2193,0,50003,20001
20001.01.00002198.0000,50003.01,1/31/2026,FIN DE MES,0.04,Pago De Interes 1/31/2026,Pago De Interes,2198,0,50003,20001
20001.01.00002223.0000,50003.01,1/31/2026,FIN DE MES,2.03,Pago De Interes 1/31/2026,Pago De Interes,2223,0,50003,20001
20001.01.00002224.0000,50003.01,1/31/2026,FIN DE MES,7.21,Pago De Interes 1/31/2026,Pago De Interes,2224,0,50003,20001
20001.01.00002228.0000,50003.01,1/31/2026,FIN DE MES,0.01,Pago De Interes 1/31/2026,Pago De Interes,2228,0,50003,20001
20001.01.00002231.0000,50003.01,1/31/2026,FIN DE MES,19.08,Pago De Interes 1/31/2026,Pago De Interes,2231,0,50003,20001
20001.01.00002239.0000,50003.01,1/31/2026,FIN DE MES,20.47,Pago De Interes 1/31/2026,Pago De Interes,2239,0,50003,20001
20001.01.00002244.0000,50003.01,1/31/2026,FIN DE MES,7.14,Pago De Interes 1/31/2026,Pago De Interes,2244,0,50003,20001
20001.01.00002245.0000,50003.01,1/31/2026,FIN DE MES,9,Pago De Interes 1/31/2026,Pago De Interes,2245,0,50003,20001
20001.01.00002257.0000,50003.01,1/31/2026,FIN DE MES,1.69,Pago De Interes 1/31/2026,Pago De Interes,2257,0,50003,20001
20001.01.00002267.0000,50003.01,1/31/2026,FIN DE MES,0.4,Pago De Interes 1/31/2026,Pago De Interes,2267,0,50003,20001
20001.01.00002270.0000,50003.01,1/31/2026,FIN DE MES,0.13,Pago De Interes 1/31/2026,Pago De Interes,2270,0,50003,20001
20001.01.00002276.0000,50003.01,1/31/2026,FIN DE MES,0.02,Pago De Interes 1/31/2026,Pago De Interes,2276,0,50003,20001
20001.01.00002281.0000,50003.01,1/31/2026,FIN DE MES,0.02,Pago De Interes 1/31/2026,Pago De Interes,2281,0,50003,20001
20001.01.00002283.0000,50003.01,1/31/2026,FIN DE MES,9.63,Pago De Interes 1/31/2026,Pago De Interes,2283,0,50003,20001
